policy,policy_label,runs,completion_rate,incident_rate,mean_forecast_net_profit,mean_realized_cash_profit,mean_realized_economic_profit,median_realized_economic_profit,p10_realized_economic_profit,p90_realized_economic_profit,loss_rate,mean_forecast_error,mean_quantity,mean_provisions_remaining,policy_order
guided_water_delivery,Guided water delivery,100,1.0,0.35,14.0,18.8,13.8,25.0,-7.0,25.0,0.35,-0.2,2.0,11.0,0
forecast_maximizer,Forecast maximizer,100,1.0,0.15,99.0,104.7,99.7,100.0,78.0,110.0,0.0,0.7,7.0,11.0,1
gross_margin_chaser,Gross-margin chaser,100,1.0,0.15,99.0,104.7,99.7,100.0,78.0,110.0,0.0,0.7,7.0,11.0,2
toll_road_only,Toll-road-only,100,1.0,0.03,17.0,25.62,20.62,19.0,19.0,25.0,0.0,3.62,9.0,11.0,3
no_trade,No trade baseline,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,4
