destination_id,ending_day,ending_money,ending_provisions,forecast_expected_loss,forecast_expected_net_profit,forecast_gross_trade_margin,forecast_risk,good_id,incident,note,policy,quantity_purchased,quantity_sold,realized_cash_profit,realized_economic_profit,route_id,route_roll,seed,status,policy_label,forecast_error,choice
reedwatch,2,235,11,78,32,119,0.35,water,False,Sold 7 water for 224 ashmarks.,map_constrained_forecast,7,7,115,110,old_road,0.9,84,completed,Map-constrained forecast,78,water → reedwatch / old_road
reedwatch,2,235,11,78,32,119,0.35,water,False,Sold 7 water for 224 ashmarks.,map_constrained_gross_margin,7,7,115,110,old_road,0.9,84,completed,Map-constrained gross-margin,78,water → reedwatch / old_road
reedwatch,2,227,11,22,80,119,0.1,water,False,Sold 7 water for 224 ashmarks.,toll_road_only,7,7,107,102,toll_road,0.9,84,completed,Toll-road-only,22,water → reedwatch / toll_road
,1,120,12,0,0,0,0.0,,False,No trade taken,no_trade,0,0,0,0,,-1.0,84,no action,No trade baseline,0,No trade
reedwatch,2,100,11,6,-23,-8,0.35,grain,True,Sold 1 grain for 8 ashmarks.,guided_grain_delivery,2,1,-20,-25,old_road,0.07,85,completed,Guided grain delivery,-2,grain → reedwatch / old_road
reedwatch,2,195,11,22,80,119,0.1,water,True,Sold 6 water for 192 ashmarks.,forecast_maximizer,7,6,75,70,toll_road,0.07,85,completed,Forecast maximizer,-10,water → reedwatch / toll_road
reedwatch,3,205,10,123,-16,119,0.55,water,True,Sold 6 water for 192 ashmarks.,gross_margin_chaser,7,6,85,75,dry_cut,0.38,85,completed,Gross-margin chaser,91,water → reedwatch / dry_cut
reedwatch,2,203,11,78,32,119,0.35,water,True,Sold 6 water for 192 ashmarks.,map_constrained_forecast,7,6,83,78,old_road,0.07,85,completed,Map-constrained forecast,46,water → reedwatch / old_road
reedwatch,2,203,11,78,32,119,0.35,water,True,Sold 6 water for 192 ashmarks.,map_constrained_gross_margin,7,6,83,78,old_road,0.07,85,completed,Map-constrained gross-margin,46,water → reedwatch / old_road
reedwatch,2,195,11,22,80,119,0.1,water,True,Sold 6 water for 192 ashmarks.,toll_road_only,7,6,75,70,toll_road,0.07,85,completed,Toll-road-only,-10,water → reedwatch / toll_road
,1,120,12,0,0,0,0.0,,False,No trade taken,no_trade,0,0,0,0,,-1.0,85,no action,No trade baseline,0,No trade
reedwatch,2,100,11,6,-23,-8,0.35,grain,True,Sold 1 grain for 8 ashmarks.,guided_grain_delivery,2,1,-20,-25,old_road,0.24,86,completed,Guided grain delivery,-2,grain → reedwatch / old_road
reedwatch,2,227,11,22,80,119,0.1,water,False,Sold 7 water for 224 ashmarks.,forecast_maximizer,7,7,107,102,toll_road,0.24,86,completed,Forecast maximizer,22,water → reedwatch / toll_road
reedwatch,3,237,10,123,-16,119,0.55,water,False,Sold 7 water for 224 ashmarks.,gross_margin_chaser,7,7,117,107,dry_cut,0.55,86,completed,Gross-margin chaser,123,water → reedwatch / dry_cut
reedwatch,2,203,11,78,32,119,0.35,water,True,Sold 6 water for 192 ashmarks.,map_constrained_forecast,7,6,83,78,old_road,0.24,86,completed,Map-constrained forecast,46,water → reedwatch / old_road
reedwatch,2,203,11,78,32,119,0.35,water,True,Sold 6 water for 192 ashmarks.,map_constrained_gross_margin,7,6,83,78,old_road,0.24,86,completed,Map-constrained gross-margin,46,water → reedwatch / old_road
reedwatch,2,227,11,22,80,119,0.1,water,False,Sold 7 water for 224 ashmarks.,toll_road_only,7,7,107,102,toll_road,0.24,86,completed,Toll-road-only,22,water → reedwatch / toll_road
,1,120,12,0,0,0,0.0,,False,No trade taken,no_trade,0,0,0,0,,-1.0,86,no action,No trade baseline,0,No trade
reedwatch,2,108,11,6,-23,-8,0.35,grain,False,Sold 2 grain for 16 ashmarks.,guided_grain_delivery,2,2,-12,-17,old_road,0.41,87,completed,Guided grain delivery,6,grain → reedwatch / old_road
reedwatch,2,227,11,22,80,119,0.1,water,False,Sold 7 water for 224 ashmarks.,forecast_maximizer,7,7,107,102,toll_road,0.41,87,completed,Forecast maximizer,22,water → reedwatch / toll_road
reedwatch,3,237,10,123,-16,119,0.55,water,False,Sold 7 water for 224 ashmarks.,gross_margin_chaser,7,7,117,107,dry_cut,0.72,87,completed,Gross-margin chaser,123,water → reedwatch / dry_cut
reedwatch,2,235,11,78,32,119,0.35,water,False,Sold 7 water for 224 ashmarks.,map_constrained_forecast,7,7,115,110,old_road,0.41,87,completed,Map-constrained forecast,78,water → reedwatch / old_road
reedwatch,2,235,11,78,32,119,0.35,water,False,Sold 7 water for 224 ashmarks.,map_constrained_gross_margin,7,7,115,110,old_road,0.41,87,completed,Map-constrained gross-margin,78,water → reedwatch / old_road
reedwatch,2,227,11,22,80,119,0.1,water,False,Sold 7 water for 224 ashmarks.,toll_road_only,7,7,107,102,toll_road,0.41,87,completed,Toll-road-only,22,water → reedwatch / toll_road
,1,120,12,0,0,0,0.0,,False,No trade taken,no_trade,0,0,0,0,,-1.0,87,no action,No trade baseline,0,No trade
reedwatch,2,108,11,6,-23,-8,0.35,grain,False,Sold 2 grain for 16 ashmarks.,guided_grain_delivery,2,2,-12,-17,old_road,0.58,88,completed,Guided grain delivery,6,grain → reedwatch / old_road
reedwatch,2,227,11,22,80,119,0.1,water,False,Sold 7 water for 224 ashmarks.,forecast_maximizer,7,7,107,102,toll_road,0.58,88,completed,Forecast maximizer,22,water → reedwatch / toll_road
reedwatch,3,237,10,123,-16,119,0.55,water,False,Sold 7 water for 224 ashmarks.,gross_margin_chaser,7,7,117,107,dry_cut,0.89,88,completed,Gross-margin chaser,123,water → reedwatch / dry_cut
reedwatch,2,235,11,78,32,119,0.35,water,False,Sold 7 water for 224 ashmarks.,map_constrained_forecast,7,7,115,110,old_road,0.58,88,completed,Map-constrained forecast,78,water → reedwatch / old_road
reedwatch,2,235,11,78,32,119,0.35,water,False,Sold 7 water for 224 ashmarks.,map_constrained_gross_margin,7,7,115,110,old_road,0.58,88,completed,Map-constrained gross-margin,78,water → reedwatch / old_road
reedwatch,2,227,11,22,80,119,0.1,water,False,Sold 7 water for 224 ashmarks.,toll_road_only,7,7,107,102,toll_road,0.58,88,completed,Toll-road-only,22,water → reedwatch / toll_road
,1,120,12,0,0,0,0.0,,False,No trade taken,no_trade,0,0,0,0,,-1.0,88,no action,No trade baseline,0,No trade
reedwatch,2,108,11,6,-23,-8,0.35,grain,False,Sold 2 grain for 16 ashmarks.,guided_grain_delivery,2,2,-12,-17,old_road,0.75,89,completed,Guided grain delivery,6,grain → reedwatch / old_road
